,oid,eid,stayId
1,1,0,0
2,1,1,1
3,1,2,2
4,1,3,3
5,1,4,4
6,1,5,5
7,1,6,6
8,1,7,7
9,1,8,8
10,1,9,9
11,2,0,0
12,2,1,10
13,2,2,11
14,2,3,6
15,2,4,7
16,2,5,12
17,2,6,13
18,2,7,14
19,2,8,15
20,3,0,16
21,3,1,17
22,3,2,18
23,3,3,19
24,3,4,20
25,3,5,21
26,3,6,22
27,3,7,23
28,4,0,24
29,4,1,1
30,4,2,25
31,4,3,26
32,4,4,27
33,4,5,28
34,4,6,21
35,4,7,29
36,4,8,6
37,4,9,7
38,4,10,30
39,4,11,31
40,4,12,6
41,4,13,32
42,4,14,7
43,4,15,15
44,5,0,0
45,5,1,1
46,5,2,6
47,5,3,7
48,5,4,33
49,5,5,34
50,5,6,35
51,5,7,36
52,5,8,6
53,5,9,37
54,5,10,38
55,5,11,7
56,5,12,39
57,5,13,40
58,5,14,6
59,5,15,41
60,5,16,42
61,5,17,7
62,5,18,43
63,5,19,44
64,5,20,23
65,6,0,16
66,6,1,1
67,6,2,45
68,6,3,46
69,6,4,6
70,6,5,7
71,6,6,15
72,7,0,47
73,7,1,48
74,7,2,49
75,7,3,50
76,7,4,51
77,7,5,52
78,7,6,50
79,7,7,53
80,7,8,54
81,7,9,51
82,7,10,55
83,7,11,52
84,7,12,56
85,7,13,57
86,7,14,58
87,7,15,59
88,7,16,60
89,7,17,61
90,7,18,62
91,7,19,63
92,7,20,64
93,7,21,65
94,8,0,0
95,8,1,66
96,8,2,67
97,8,3,68
98,8,4,69
99,8,5,6
100,8,6,70
101,8,7,7
102,8,8,71
103,8,9,15
104,9,0,0
105,9,1,66
106,9,2,72
107,9,3,6
108,9,4,7
109,9,5,12
110,9,6,73
111,9,7,6
112,9,8,74
113,9,9,75
114,9,10,7
115,9,11,76
116,9,12,23
117,10,0,16
118,10,1,10
119,10,2,77
120,10,3,78
121,10,4,6
122,10,5,79
123,10,6,7
124,10,7,43
125,10,8,25
126,10,9,80
127,10,10,78
128,10,11,15
129,11,0,0
130,11,1,1
131,11,2,81
132,11,3,82
133,11,4,83
134,11,5,84
135,11,6,85
136,11,7,6
137,11,8,7
138,11,9,86
139,11,10,21
140,11,11,6
141,11,12,87
142,11,13,7
143,11,14,23
144,12,0,24
145,12,1,10
146,12,2,88
147,12,3,89
148,12,4,6
149,12,5,7
150,12,6,90
151,12,7,91
152,12,8,85
153,12,9,92
154,12,10,6
155,12,11,32
156,12,12,7
157,12,13,23
158,13,0,0
159,13,1,10
160,13,2,6
161,13,3,93
162,13,4,94
163,13,5,95
164,13,6,7
165,13,7,96
166,13,8,6
167,13,9,41
168,13,10,7
169,13,11,23
170,14,0,0
171,14,1,17
172,14,2,6
173,14,3,97
174,14,4,98
175,14,5,41
176,14,6,99
177,14,7,7
178,14,8,63
179,14,9,60
180,14,10,9
181,15,0,0
182,15,1,17
183,15,2,100
184,15,3,101
185,15,4,102
186,15,5,6
187,15,6,41
188,15,7,103
189,15,8,7
190,15,9,104
191,15,10,23
192,16,0,24
193,16,1,1
194,16,2,105
195,16,3,6
196,16,4,106
197,16,5,107
198,16,6,108
199,16,7,7
200,16,8,109
201,16,9,6
202,16,10,110
203,16,11,7
204,16,12,61
205,16,13,15
206,17,0,0
207,17,1,17
208,17,2,28
209,17,3,111
210,17,4,36
211,17,5,6
212,17,6,112
213,17,7,7
214,17,8,15
215,18,0,0
216,18,1,1
217,18,2,113
218,18,3,114
219,18,4,28
220,18,5,6
221,18,6,7
222,18,7,115
223,18,8,116
224,18,9,6
225,18,10,117
226,18,11,7
227,18,12,34
228,18,13,118
229,18,14,6
230,18,15,112
231,18,16,7
232,18,17,9
233,19,0,24
234,19,1,1
235,19,2,119
236,19,3,120
237,19,4,121
238,19,5,9
239,20,0,24
240,20,1,66
241,20,2,122
242,20,3,19
243,20,4,83
244,20,5,123
245,20,6,124
246,20,7,125
247,20,8,21
248,20,9,6
249,20,10,7
250,20,11,9
251,21,0,0
252,21,1,1
253,21,2,88
254,21,3,68
255,21,4,126
256,21,5,6
257,21,6,74
258,21,7,127
259,21,8,7
260,21,9,128
261,21,10,6
262,21,11,129
263,21,12,130
264,21,13,131
265,21,14,7
266,21,15,132
267,21,16,25
268,21,17,133
269,21,18,6
270,21,19,7
271,21,20,43
272,21,21,6
273,21,22,7
274,21,23,134
275,21,24,9
276,22,0,16
277,22,1,1
278,22,2,40
279,22,3,135
280,22,4,6
281,22,5,136
282,22,6,7
283,22,7,137
284,22,8,15
285,23,0,24
286,23,1,1
287,23,2,6
288,23,3,138
289,23,4,7
290,23,5,139
291,23,6,140
292,23,7,9
293,24,0,16
294,24,1,66
295,24,2,141
296,24,3,142
297,24,4,143
298,24,5,144
299,24,6,21
300,24,7,46
301,24,8,6
302,24,9,7
303,24,10,23
304,25,0,16
305,25,1,10
306,25,2,145
307,25,3,146
308,25,4,6
309,25,5,147
310,25,6,7
311,25,7,148
312,25,8,6
313,25,9,7
314,25,10,9
315,26,0,16
316,26,1,17
317,26,2,149
318,26,3,150
319,26,4,96
320,26,5,151
321,26,6,23
322,27,0,24
323,27,1,17
324,27,2,88
325,27,3,152
326,27,4,153
327,27,5,154
328,27,6,155
329,27,7,6
330,27,8,7
331,27,9,9
332,28,0,24
333,28,1,1
334,28,2,142
335,28,3,156
336,28,4,157
337,28,5,158
338,28,6,159
339,28,7,6
340,28,8,160
341,28,9,74
342,28,10,161
343,28,11,7
344,28,12,162
345,28,13,163
346,28,14,164
347,28,15,165
348,28,16,166
349,28,17,61
350,28,18,6
351,28,19,167
352,28,20,7
353,28,21,9
354,29,0,0
355,29,1,1
356,29,2,67
357,29,3,168
358,29,4,6
359,29,5,74
360,29,6,7
361,29,7,169
362,29,8,25
363,29,9,85
364,29,10,6
365,29,11,7
366,29,12,170
367,29,13,6
368,29,14,171
369,29,15,7
370,29,16,15
371,30,0,16
372,30,1,66
373,30,2,101
374,30,3,172
375,30,4,45
376,30,5,76
377,30,6,173
378,30,7,6
379,30,8,174
380,30,9,7
381,30,10,175
382,30,11,176
383,30,12,6
384,30,13,177
